ox,oy
0.26350084,0.2850747
0.5096699,0.77054894
0.36593023,0.9750344999999999
0.9146645,0.29724285
0.6449788000000001,0.7081198000000001
0.764275,0.61902016
0.28747898,0.2221007
0.437105,0.52108437
0.69179,0.33630484
0.33368298,0.10234369
0.41891718,0.379201
0.41395918,0.93696636
0.46125233,0.49745429999999996
0.8031739999999999,0.32380529999999996
0.77684826,0.33648717
0.9869071,0.11948219999999998
0.3695575,0.9964252
0.26009884,0.23711258
0.18164888,0.18464793
0.11167064,0.4494777
0.4363411,0.47576720000000006
0.44646823,0.8155944
0.23745039999999998,0.17854389999999998
0.669103,0.44554946
0.6583071999999999,0.3362623
0.5749609,0.18031415
0.37054327,0.54945654
0.8305889000000001,0.4583695
0.39548528,0.52763426
0.61980504,0.68376374
0.30325946,0.5163612
0.6571293,0.61621636
0.40177056,0.45321658
0.23252593,0.42513199999999995
0.9773901,0.11855772
0.44189656,0.36502940000000006
0.8352646999999999,0.6856906999999999
0.18904504,0.10226969
0.4645504,0.30679664
0.39649442,0.16335104
0.36491644,0.8106169
0.13985309,0.5869022
0.5541092,0.68641835
0.23154923,0.47776303
0.9650953999999999,0.14012535
0.54773104,0.5696036999999999
0.5213613,0.78936195
0.5498191,0.33452326
0.36285427,0.93933386
0.6742341,0.40106148
0.7261694000000001,0.50852215
0.87277347,0.46922037
0.41048053,0.46246007
0.9153431999999999,0.13078958
0.3149139,0.50998986
0.23907717,0.5818564
0.656453,0.5316204000000001
0.8367618,0.65599185
0.86838233,0.53736347
0.46505943,0.7307482
0.9744221,0.14132595
0.55566525,0.618591
0.7057748,0.5935699999999999
0.39376327,0.17163111
0.95164716,0.5185984
0.7444615,0.15671785
0.8834447,0.482897
0.47151986,0.43812138
0.39393390000000006,0.80222356
0.23533800000000002,0.56901145
0.07543713,0.5941614000000001
0.333899,0.6519034
0.71903676,0.5250655
0.25366667,0.6643963
0.25168163,0.21116158
0.47729313,0.6299088
0.48236912,0.49669996
0.21101989,0.67168313
0.29883733,0.69104975
0.9350446,0.5936514
0.8563875,0.64418054
0.29690534,0.56859714
0.39931079999999997,0.96118903
0.85733736,0.30346322
0.39211255,0.30886513
0.6932347,0.16897793
0.36957458,0.18136296
0.58035177,0.3650795
0.52376086,0.6822515
0.678327,0.32928327
0.38976994,0.5404289000000001
0.7721914000000001,0.6285326
0.89185715,0.5849379
0.37563998,0.9961288
0.2830139,0.6420409
0.58920205,0.5792525
0.6515915,0.65507245
0.8900533000000002,0.41338167
0.40167758,0.9582782
0.5348973000000001,0.4958909000000001
0.47083488,0.6741242
0.63689154,0.44111090000000003
0.3608458,0.2552355
0.83350307,0.59636635
0.17905849,0.32547662
0.42903167,0.12980688
0.63023174,0.20669134
0.24198483,0.62982315
0.39240816,0.5842835
0.41874877,0.9327603000000001
0.96642774,0.5747983
0.45001453,0.40104374
0.48338002,0.19773974
0.7695449000000001,0.5263374
0.20682149,0.2873722
0.90698457,0.64962286
0.27380964,0.44030103
0.6366331000000001,0.7106069
0.45435184,0.46804428
0.6948557,0.16824774
0.6781304,0.39929068
0.6875047,0.1899784
0.9716889000000001,0.15171273
0.5318522,0.34825623
0.7914426999999999,0.3871522
0.78474206,0.59383464
0.62168276,0.34957987
0.5865739000000001,0.39954215
0.71764326,0.57275224
1.0,0.100978225
0.45945066,0.42017284
0.7223739,0.57821643
0.9894915999999999,0.111835696
0.47550159999999997,0.83826435
0.18508554,0.31158635
0.28175607,0.13180899999999998
0.63735366,0.39496577
0.41578370000000003,0.5343426
0.5755964,0.47265807
0.85155094,0.51499325
0.5334805,0.5904194
0.45887035,0.74038833
0.66150945,0.16307867
0.9011434000000001,0.6214356
0.8826210999999999,0.29202312
0.5011625,0.38026205
0.7149773,0.24104483
0.59936935,0.71473145
0.6726422,0.18472979999999997
0.49183008,0.47331136
0.59847707,0.44020197
0.45457822,0.14354752
0.43022597,0.3662238
0.18302307,0.3312204
0.9352541,0.5192469
0.45490792,0.5548763000000001
0.9008259,0.38994253
0.5623251,0.4357286
0.35304072,0.37603253
0.5611826,0.3006362
0.34374392,0.5900767
0.7870362,0.30401838
0.87024474,0.2851517
0.5192014,0.43950132
0.51276034,0.45941427
0.9453091,0.5776389000000001
0.25674334,0.13280983
0.81682014,0.46240535
0.99159795,0.12898536
0.44901568,0.22520820000000003
0.21180107,0.410681
0.24844497,0.16358705
0.39087254,0.96328914
0.83845,0.6866113
0.670622,0.40612750000000003
0.70233566,0.4634907999999999
0.7224451999999999,0.2834565
0.71564204,0.44095114
0.28047502,0.19465986
0.5549369000000001,0.51768714
0.49845654,0.4174331
0.16965877,0.32490924
0.8841411,0.58789897
0.6753186999999999,0.27186635
